names,fit_time,f1,recall,precision,accuracy
MI_linear,0.04809844493865967,0.6248218701785994,0.575,0.7027318861503392,0.6615
PCA_linear,2.3301000595092773,0.5684898867295347,0.568,0.5733349751257749,0.571
SVMFS_linear,157.47692892551422,0.9432157734716838,0.9410000000000001,0.9494730136612695,0.943
MI_rbf,0.0663414478302002,0.6419547449854721,0.623,0.6730249821976331,0.6575
PCA_rbf,2.2881001472473144,0.503783930320159,0.47999999999999987,0.5718238318515813,0.5405
SVMFS_rbf,165.82913570404054,0.848534569367612,0.849,0.8678155414158395,0.8505
MI_poly,0.06459910869598388,0.48700891340851415,0.38100000000000006,0.7168958043509163,0.611
PCA_poly,1.8882994413375855,0.5624108185560841,0.5599999999999999,0.5695412193233521,0.568
SVMFS_poly,175.47868070602416,0.8103591405528215,0.8219999999999998,0.8214003094457821,0.8099999999999999
MI_sigmoid,0.049888992309570314,0.5511428465469944,0.557,0.5557461496970595,0.5615000000000001
PCA_sigmoid,1.7668007135391235,0.6668896321070233,1.0,0.500251256281407,0.5005
SVMFS_sigmoid,112.00314960479736,0.8720395474396281,0.8699999999999999,0.8875172878895017,0.8739999999999999
