names,fit_time,f1,recall,precision,accuracy
MI_linear,0.04779951572418213,0.6718380303341256,0.6809999999999999,0.6855582855486929,0.677
PCA_linear,1.9528633117675782,0.5907062303113287,0.597,0.5916427939661594,0.589
SVMFS_linear,162.28188791275025,0.9287481116485458,0.93,0.9329904203633393,0.9279999999999999
MI_rbf,0.06471424102783203,0.6800333987524947,0.6980000000000001,0.6827706965798201,0.6785000000000001
PCA_rbf,1.713815689086914,0.5807759710969893,0.576,0.6303047285603531,0.5990000000000001
SVMFS_rbf,164.19215836524964,0.8129093776788885,0.8160000000000001,0.8441411950493343,0.818
MI_poly,0.08828926086425781,0.7008501192909451,0.8160000000000001,0.6208081766012383,0.6530000000000001
PCA_poly,1.819699263572693,0.5963788963570399,0.603,0.5969462172508369,0.5940000000000001
SVMFS_poly,173.79076552391052,0.7512941382518582,0.729,0.819597667191821,0.7675
MI_sigmoid,0.05729799270629883,0.44009903614621954,0.441,0.44477968871649437,0.4415
PCA_sigmoid,1.7271003007888794,0.6666666666666667,1.0,0.5,0.5
SVMFS_sigmoid,120.18623185157776,0.8306033025396022,0.8230000000000001,0.868980878121641,0.8375
