C	split0_fit_time	split1_fit_time	split2_fit_time	split3_fit_time	split4_fit_time	split0_score_time	split1_score_time	split2_score_time	split3_score_time	split4_score_time	split0_test_f1	split1_test_f1	split2_test_f1	split3_test_f1	split4_test_f1	split0_test_recall	split1_test_recall	split2_test_recall	split3_test_recall	split4_test_recall	split0_test_precision	split1_test_precision	split2_test_precision	split3_test_precision	split4_test_precision	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	mean_fit_time	mean_score_time	mean_test_f1	mean_test_recall	mean_test_precision	mean_test_accuracy
0.001	0.8469984531402588	0.7110002040863037	0.7509989738464355	0.8260002136230469	0.6979987621307373	0.03500056266784668	0.03699994087219238	0.03699922561645508	0.03800010681152344	0.03500008583068848	0.8477611940298507	0.8063492063492063	0.8286604361370717	0.8424242424242424	0.8407643312101911	0.8819875776397516	0.79375	0.83125	0.86875	0.825	0.8160919540229885	0.8193548387096774	0.8260869565217391	0.8176470588235294	0.8571428571428571	0.840625	0.809375	0.828125	0.8375	0.84375	0.7665993213653565	0.03639998435974121	0.8331918820301125	0.8401475155279503	0.8272647330441583	0.8318749999999999
0.01	0.7239995002746582	0.6409997940063477	0.6360001564025879	0.628000020980835	0.8210000991821289	0.03499889373779297	0.03299975395202637	0.03399991989135742	0.03299975395202637	0.03800010681152344	0.8369230769230769	0.8264984227129337	0.8545454545454546	0.8597560975609757	0.8316831683168318	0.84472049689441	0.81875	0.88125	0.88125	0.7875	0.8292682926829268	0.8343949044585988	0.8294117647058824	0.8392857142857143	0.8811188811188811	0.834375	0.828125	0.85	0.85625	0.840625	0.6899999141693115	0.034599685668945314	0.8418812440118545	0.8426940993788821	0.8426959114504007	0.8418750000000002
0.1	0.7779996395111084	0.6830005645751953	0.6909992694854736	0.6719999313354492	0.6740000247955322	0.0280001163482666	0.032999515533447266	0.03000020980834961	0.029999494552612305	0.03099989891052246	0.8322981366459627	0.8115015974440895	0.8024691358024691	0.8286604361370717	0.817891373801917	0.8322981366459627	0.79375	0.8125	0.83125	0.8	0.8322981366459627	0.8300653594771242	0.7926829268292683	0.8260869565217391	0.8366013071895425	0.83125	0.815625	0.8	0.828125	0.821875	0.6995998859405518	0.030399847030639648	0.818564135966302	0.8139596273291925	0.8235469373327273	0.8193750000000002
1.0	0.9840002059936523	0.6829996109008789	0.6880002021789551	0.7090005874633789	0.6600000858306885	0.029999732971191406	0.029999732971191406	0.03099966049194336	0.031002044677734375	0.03000020980834961	0.8404907975460123	0.817891373801917	0.8024691358024691	0.8297213622291022	0.8193548387096774	0.8509316770186336	0.8	0.8125	0.8375	0.79375	0.8303030303030303	0.8366013071895425	0.7926829268292683	0.8220858895705522	0.8466666666666667	0.8375	0.821875	0.8	0.828125	0.825	0.7448001384735108	0.03040027618408203	0.8219855016178356	0.8189363354037267	0.8256679641118119	0.8225
10.0	0.7650001049041748	0.7539999485015869	0.6960008144378662	0.6850001811981201	0.6770000457763672	0.031000137329101562	0.03099989891052246	0.030997753143310547	0.03099966049194336	0.03000044822692871	0.8404907975460123	0.817891373801917	0.8024691358024691	0.8297213622291022	0.8193548387096774	0.8509316770186336	0.8	0.8125	0.8375	0.79375	0.8303030303030303	0.8366013071895425	0.7926829268292683	0.8220858895705522	0.8466666666666667	0.8375	0.821875	0.8	0.828125	0.825	0.715400218963623	0.03079957962036133	0.8219855016178356	0.8189363354037267	0.8256679641118119	0.8225
100.0	0.7910001277923584	0.695000410079956	0.7890000343322754	0.684999942779541	0.6730000972747803	0.029999971389770508	0.0429995059967041	0.029999971389770508	0.03300023078918457	0.031000137329101562	0.8404907975460123	0.817891373801917	0.8024691358024691	0.8297213622291022	0.8193548387096774	0.8509316770186336	0.8	0.8125	0.8375	0.79375	0.8303030303030303	0.8366013071895425	0.7926829268292683	0.8220858895705522	0.8466666666666667	0.8375	0.821875	0.8	0.828125	0.825	0.7266001224517822	0.03339996337890625	0.8219855016178356	0.8189363354037267	0.8256679641118119	0.8225
1000.0	0.7189996242523193	0.6820001602172852	0.6959998607635498	0.7159979343414307	0.7320001125335693	0.028999805450439453	0.029000043869018555	0.040001869201660156	0.031000375747680664	0.03200030326843262	0.8404907975460123	0.817891373801917	0.8024691358024691	0.8297213622291022	0.8193548387096774	0.8509316770186336	0.8	0.8125	0.8375	0.79375	0.8303030303030303	0.8366013071895425	0.7926829268292683	0.8220858895705522	0.8466666666666667	0.8375	0.821875	0.8	0.828125	0.825	0.7089995384216309	0.03220047950744629	0.8219855016178356	0.8189363354037267	0.8256679641118119	0.8225
