names,fit_time,f1,recall,precision,accuracy
MI_knn,0.005403566360473633,0.6130949948175259,0.609,0.6308209611002592,0.6210000000000001
PCA_knn,0.0024786949157714843,0.5048500116638125,0.5000000000000001,0.5131360300703008,0.5130000000000001
SVMFS_knn,0.010019874572753907,0.618624316015203,0.6469999999999999,0.5980672807509251,0.601
MI_nb,0.003100681304931641,0.30497454989584616,0.229,0.5935315452091767,0.5645
PCA_nb,0.0023490428924560548,0.6586340925147478,0.958,0.5019838417455367,0.5045
SVMFS_nb,0.013905143737792969,0.6013616104472984,0.7590000000000001,0.56354852651532,0.5685
MI_rf,0.5672677040100098,0.6800672834381298,0.696,0.6789847778345015,0.6855
PCA_rf,0.36970057487487795,0.5105136622013136,0.512,0.5109260796769836,0.5125000000000001
SVMFS_rf,1.2993048429489136,0.7006441631166135,0.683,0.7362084704971299,0.7155
