names,fit_time,f1,recall,precision,accuracy
MI_knn,0.004497671127319336,0.6648627278815172,0.667,0.677166889836075,0.6719999999999999
PCA_knn,0.002700495719909668,0.5240434850327348,0.53,0.5204935166877871,0.5205
SVMFS_knn,0.013200139999389649,0.6434232903758921,0.675,0.6209477564719348,0.6295000000000001
MI_nb,0.0022005319595336916,0.40087575641021456,0.35100000000000003,0.5758951126392987,0.5945
PCA_nb,0.002800655364990234,0.6680529450303134,0.9700000000000001,0.5099724786095357,0.5175000000000001
SVMFS_nb,0.0183992862701416,0.40352728352430345,0.4029999999999999,0.5745105902810784,0.567
MI_rf,0.5587993383407592,0.7218838531824505,0.713,0.7571914438514239,0.7375
PCA_rf,0.35480775833129885,0.5054654098681046,0.506,0.5074582709594921,0.5055
SVMFS_rf,1.0627341270446777,0.6999827819334058,0.6910000000000001,0.7396124781829192,0.7209999999999999
