names,fit_time,f1,recall,precision,accuracy
mi_linear,0.04129953384399414,0.655160313124196,0.6900000000000001,0.6604434720955141,0.665
pca_linear,0.05269966125488281,0.6551736209860469,0.6689999999999999,0.6677549352789758,0.655
svmfs_linear,0.04349796772003174,0.5957969020069952,0.6289999999999999,0.6087642620835377,0.6054999999999999
mi_rbf,0.05649800300598144,0.7088625386636983,0.745,0.6893012231265854,0.7010000000000001
pca_rbf,0.059598660469055174,0.6620993308693814,0.6759999999999999,0.6661735964683464,0.6575
svmfs_rbf,0.06399838924407959,0.6587017408192346,0.723,0.6227763396981081,0.627
mi_poly,0.05710000991821289,0.6910102976589225,0.703,0.7012870801775524,0.7
pca_poly,0.7060492753982544,0.6685577596879884,0.7060000000000001,0.6483552753022465,0.6529999999999999
svmfs_poly,0.09079947471618652,0.6676597393861549,0.7150000000000001,0.6424271738087848,0.644
mi_sigmoid,0.09050090312957763,0.3704313625641449,0.404,0.36103928018660725,0.3995000000000001
pca_sigmoid,0.10619876384735108,0.41205743403642925,0.5900000000000001,0.3610417014715862,0.51
svmfs_sigmoid,0.07189865112304687,0.4797760973811953,0.505,0.504287714519607,0.502
