kurt_R,lbp_9,humoment_2,humoment_1,lbp_8,skew_B,mean_B,kurt_B,std_B
2.906622356755816,22516.0,6.025581360587625e-07,0.0014286189687876,24365.0,-0.4370740661865545,62.12384652935248,7.273448468726659,38.02901056009731
2.457932743625361,20433.0,8.580306601218521e-07,0.0017546811725316,24381.0,-0.8244864538441807,45.20249118165785,24.25111198180548,19.172193559625818
2.266351383936317,20487.0,5.570381007433469e-07,0.0014554647265844,23353.0,0.8672570297411076,100.97250566893425,13.70139244572741,18.17921091816842
1.8070014372447087,20893.0,5.489255876117837e-07,0.0014670135563021,24250.0,-0.9206909097693596,73.44309413580247,13.532671110685246,23.864104225076243
2.102290869383584,19991.0,4.3156302219556533e-07,0.0011993683050068,23695.0,0.1953754037414633,111.3006464159738,2.78778096670222,42.92193821939156
2.7573781197012286,20228.0,2.903834089672053e-07,0.0010723697177221,24097.0,-0.0418470929141875,104.95784517510708,2.463128160464862,49.63281410527824
1.6612191696972989,18644.0,7.806315610536382e-07,0.001841136283166,22323.0,-0.1913825573344664,45.81879881582263,14.677472802201937,28.084955161847255
5.841418837961296,15625.0,1.1777414730641163e-06,0.0022434668802421,19651.0,1.8603650967856444,43.13731418493323,6.97505667485649,52.16566948017886
4.69711652273534,15947.0,1.1407613203667968e-06,0.0021269081514905,19530.0,1.8467055398737269,42.75270849080373,6.987208966598181,50.11049951832732
1.0037250242383318,18443.0,1.814984645692164e-06,0.0027532895231329,21955.0,-0.5310842758505575,29.935960726883344,69.37179205435442,12.237075028943789
2.196537894770171,11251.0,6.649635800920242e-07,0.0016688344719351,15762.0,0.2547268591115053,74.78005322499371,4.537385168464843,38.87521906924347
2.743584956017512,15423.0,6.741390639881085e-07,0.0015698945714973,19447.0,0.3008707428126733,80.25500755857898,1.7517134881730685,73.66604370197581
2.978811363724642,22005.0,3.195829837728273e-06,0.0031682619637368,23956.0,6.276233701003128,23.14565617913832,58.58735905621212,18.85050035940737
0.9975364543960722,23034.0,3.0804889075189183e-06,0.00309485117015,24586.0,2.005016794986717,32.32321192365836,52.5671461011565,12.744640399548851
11.599677215924356,24178.0,1.2635059068924936e-05,0.0064893517798379,25085.0,37.25545178509218,13.352265211640212,535.6465398807272,8.099479989962798
2.015045156404437,18931.0,1.8200980867833568e-06,0.0027869433521376,22052.0,4.348796812999253,24.980768927941547,35.42156864377765,22.25373678215592
7.662388899940351,20806.0,6.209684390515177e-06,0.0042368946590442,23291.0,7.211336062351116,29.20253054925674,44.18183949730573,25.07536233419813
2.244305758039458,24550.0,5.658688865614099e-06,0.0045573036327604,25849.0,5.772640355697409,25.512062232300327,34.178976411596565,21.002383201824205
1.9966633092624568,22816.0,1.4612536748207916e-06,0.0024292654355212,24934.0,1.467646857731969,34.69920398715042,19.60909269139621,23.55877019007039
3.761902638525202,25677.0,4.941810360897936e-06,0.0058683370751309,25563.0,45.01557858524344,14.41184019904258,437.5431489141728,11.460330470735254
8.494791026843915,24767.0,4.6252747658188406e-06,0.0036844839520219,25245.0,4.086739680592996,50.396703357268834,17.607459635346206,34.1447788139654
3.469434900509036,23356.0,1.2718902997969124e-06,0.0021202693887252,24628.0,2.555195063395608,92.67351662887376,11.269078704586372,35.55141721865882
