pca_1,pca_2
-2603.8922678866543,-36.23077441088242
-2498.338533465933,-23.15801834189983
-2460.898648579239,-18.677675620967342
-2441.3512130029353,-21.297953837342313
-2552.386394445872,-35.140127838507595
-1953.3122666084982,52.36455960501358
-2234.8563415638255,7.7962887284199605
-2229.4998730034627,16.84407841253175
-2584.6883993961346,-33.50471525818112
-2548.4513344722805,-26.151146178673187
-2472.2172767371258,-18.954968140287182
-2584.4959883702168,-33.53462748976404
-2508.2664521876336,-25.192227820017365
-2564.9965837123714,-34.318978725012336
-2526.0930948436026,-26.70822128455056
-2462.2582583973613,-17.87623019848709
-2422.3967657905764,-13.068418384189382
-2332.27515526948,3.5766827170641267
-1696.6177178524279,91.59948274078667
-907.4926785168225,240.78308049822218
-1537.0471830880947,102.64790052554761
-2300.169284229957,2.6364549574035117
-2129.0088718574057,26.60344007050544
-2555.48672168299,-34.79750530589574
-2574.1280399680695,-36.33327718132466
-2569.1227929829815,-35.74378364597586
-2541.9327606471425,-31.41663628875157
-2551.482006477342,-31.95115791799177
-2550.2261400859575,-31.841360918331127
-2569.2063658689094,-34.985718103598735
-2578.6908430691888,-34.75469080803273
-2555.6684764914153,-33.907144324702
-2563.316277095644,-33.38494905666904
-2601.8238637078193,-35.51080075629001
-2599.8666291369336,-35.57110198854147
-2605.6153660338314,-35.17224970634786
-2566.5414004742443,-32.81626310248171
-2586.961275194554,-34.837683644925185
-2550.13528255668,-29.466361823782137
1281.5194980758724,-735.3242390721488
-2567.450279664701,-31.41786211713806
-2575.295610864961,-31.761960670528428
-2550.234553657883,-32.208956673780584
-2574.1249615655115,-34.914726554329796
-2559.497896400879,-32.283316676560844
-2559.4689043095573,-32.16949522459327
-2556.649981046791,-32.09440004238457
-2067.1509982472344,53.42294339470009
-2477.49471442125,-22.632995020337393
-2515.030995045273,-26.125387550137813
-2484.3149035462757,-21.833260604699138
-2470.724192953708,-22.05600167327979
-2438.792935233248,-17.402154696828507
-2276.3908878121483,6.203930772379306
-2577.4305359835635,-36.16838487795776
-2131.719118877353,30.73275193214523
-2577.7660105109085,-35.383472693736024
-2571.987111364592,-35.013388782555786
-2550.6342434962794,-32.52894119883513
-2574.7637032478124,-33.436918111665086
-2585.162800300733,-34.20533706020543
-2593.6542393317727,-35.220255605874925
-2556.6588516251877,-36.09977678403741
-2510.9130132603705,-30.75301191593142
-2535.2244541657374,-32.003276893569115
-2476.068589577628,-20.450731568451634
-2499.2853114679524,-26.348450262604675
-2509.503076658736,-28.154708975820355
-2402.7419917079474,-13.819639014064911
-2543.464240155969,-32.513133495376515
-2257.6649794031036,4.251030161736416
-2555.778047392392,-34.410363983355914
-2549.5033371058703,-31.115594078733086
-2503.1759287554187,-28.139261691535594
-2581.380854794686,-36.06890697462381
-2482.8754413685488,-23.83321870502611
-2553.6851212109927,-31.34415883076516
-2551.233171682608,-31.486700095241815
-2490.550182774497,-23.326968263266846
-2233.6753027217364,11.847391690918341
-2440.2470934028233,-13.788035548152854
-1741.809355806281,-67.58268813014807
-2037.3018508508997,48.46814151987467
-2291.3239092642566,1.856741749222788
-2462.7925563786016,-19.477879297549745
-2571.515294998565,-30.92604164234613
5503.144840766005,-243.80387224940225
-2571.6493172699934,-29.706232042984183
-2510.6068648573405,-26.933922460757312
-2064.145601206125,-41.18866686202027
-2254.983638222631,10.74025605546967
-2444.7201519979685,-20.561960198576283
-2519.219263481775,-24.020568471420127
-2401.0151712842044,-11.381865039257466
-2178.9509444426412,15.61683156947839
-2572.9697441470285,-33.00008645933856
-2395.9931895771124,-13.940833839302675
-2565.4462802045246,-31.46745306727796
-2560.7287148383616,-30.137624516470904
-2535.334409115652,-30.302076394369585
-1986.1790879440816,66.17229975433906
-2591.48005674894,-32.08600807441293
-2559.2382061531644,-31.015289263505764
-2574.4655229391287,-29.795506844418405
-2596.371357165351,-27.492089869329885
-2246.6098999091005,24.226270935506204
-2540.625607034046,-25.31598799550001
-2252.8714776392076,20.641841545080393
-2593.3556689086095,-31.15965362454533
-2517.9256681249935,-22.98665888843533
-2520.141627173979,-20.510419981074254
-2199.082324633033,25.868737085454555
-1396.2798549473955,89.52609461060541
-2180.534610640621,-78.79685422661143
-2581.832157444641,-36.3957804521268
-2588.477542533685,-37.02091259994719
-2231.4024295102645,10.432381158516067
-2336.930950454808,-3.277976881683989
-2171.8806284652646,22.046216247136606
-2544.6421900767664,-31.42896435531683
-2507.9333182413825,-23.441872640966462
-2382.532610974798,-7.358294541628154
-2520.5014589414895,-27.200651140724634
-2579.198261392996,-35.47171784485554
-2448.434578394244,-17.09776548155224
-2553.728530233104,-33.0054446494718
-2543.706846713921,-26.12907827383947
-2589.45797909588,-36.9480449543786
-2585.1243363624303,-37.006504479826155
-2560.8958258172433,-35.61366040405375
-2518.121722355895,-30.218101360451087
-2560.875128505179,-34.718689817886826
-2306.6937002719105,-4.969625730106362
-2540.0236280332024,-33.335220328198034
-2561.5216836787977,-35.54077974066207
-2542.3445152570803,-32.44601751308986
-2582.2622965536643,-37.24962631449999
-2264.9900463761546,3.193823242389082
-2543.335555554322,-33.11672885641687
-2529.445126863787,-30.65154927207006
-2511.9756707646225,-26.637477075450043
-2507.5764748055435,-28.46561620913363
-2503.6355838002687,-26.850771269192705
-2529.4618910265112,-30.049810668482653
-2159.597729832641,19.337049886063607
-2434.0861245822575,-14.658966594457773
-2001.9844044206864,43.60295172218591
-2064.224882700946,39.462629231453285
-2129.267712603829,24.712241031386345
-2307.856048429786,2.3251552421059514
-2389.2128749590493,-12.816882414756401
-1472.196264948967,-101.03254749999397
-1890.9763112515839,67.12737258223659
-2038.6806204973418,38.884035834976565
-2048.327473500182,34.881103485604456
4045.0918821163223,-530.6977311415845
-1831.7740751316883,68.57231826462477
-1702.0453930619121,82.35296240833873
-2151.5880008683716,21.761332888955103
-1863.7197048725436,65.71254725793342
-1262.7288761126874,132.38229875749977
-1291.7764867334024,152.34405226322895
-1748.8041343963803,99.63258176770078
-2010.3716444836566,49.06041949278702
-2079.851677756022,41.54873488498647
-2326.327646570087,8.957611626980965
-1491.3529405533843,117.5011440579982
-2135.0101827873273,25.778853211606965
-1907.2494690211424,63.322167413792826
-2059.309686876627,39.66484688335718
-2596.041242899766,-36.824954406404245
-2515.5608010611368,-32.022168195328454
-2519.7238972012187,-30.889980450991033
-2569.5374949268603,-34.21569991423992
-2540.902072115292,-32.66670003602377
-2525.5608846070386,-30.81014004406352
-2565.3678928552986,-36.46813997539201
-2559.5654775107846,-35.68138507143718
-2583.955266045392,-36.98441005140337
-2563.404839763696,-33.906741283714275
-2576.050802508837,-36.58801906759453
-2578.445731208079,-37.257620756275145
-2570.358243698597,-34.79584039328869
-2217.641739274192,6.45534890919461
-2547.952443736265,-33.39676744648482
-2550.3573186512654,-33.63450678562352
-2585.7767302633424,-34.22914003919646
-2582.213364823735,-35.34155403097746
-2587.8166370343724,-36.96148427946067
-2547.3071603884905,-23.81989952921306
-2515.029858426099,-25.088278055784215
-2484.8652285985536,-19.4503922896296
-2575.2497247128385,-36.057598311723616
-2520.4126952331476,-28.298891390260913
-2347.613512198526,1.2819392331687574
-2485.4411553571013,-21.98189629762187
-2495.9355762479922,-24.311211051982095
-2565.496297040219,-32.88832092488835
-2555.6640810487997,-35.15814490701541
-2562.4941774840013,-36.03263191789375
-2454.2649051307553,-22.551101838072587
-2573.0093013246646,-37.16487396456411
-2539.703312141577,-30.637952375909425
-2555.776593954442,-32.87078796558015
-2101.3505737093396,32.08350542416323
-2467.4997797103524,-22.68627011214874
-1745.1594614585538,107.76177481682494
-2456.0330156956866,-19.8905394820492
107595.83068466508,474.85336407681336
-2413.4344856776825,-13.34472873606918
-2479.783412156906,-22.10297532503612
-2593.765615662636,-32.835382510713856
83.75266960064015,45.31137414273896
-2584.647154495536,-35.238456542526244
-2519.0492368826353,-27.732805030901485
-2573.098803723083,-29.78667147639892
-2576.22653608951,-30.357978735715395
-2563.497548540495,-31.671506965171368
-2563.9235956295056,-28.550978209635282
-2499.8747648608532,-34.2098735972168
-2568.5501905995347,-36.16911001483999
-2536.7599440388667,-32.87222121458246
-2536.1371352448573,-28.238399656283356
-2602.175387003637,-35.58535958214602
-2599.226819056533,-35.63620635164328
-2610.330911636423,-27.832406876486882
-2592.888372118702,-31.713892399313647
-2601.6786892331907,-31.829595444753668
-2572.6515286423532,-28.48236189771388
-2605.9453447427973,-35.070565271952894
-2570.8984264489777,-33.61835264469667
-2570.9560476684414,-31.717300665863323
-2575.8652359048083,-34.21260278342424
-2570.8139437606333,-34.77824653555612
-2551.716063749347,-30.220754516879634
-2580.477394460612,-36.22120480706211
-2598.3746044950317,-35.303981753715185
-2598.3508293620903,-38.184386935299415
-2603.7166472230533,-38.67122070465411
-2598.380323077685,-39.110282805122694
-2528.949433585427,-30.58059534943833
-2335.749456937755,-1.7968042465788399
-2600.4147747016145,-35.320523277662225
-2599.420670130684,-36.830306441053374
-2569.1783619651897,-28.686236377068578
-2565.638748105917,-33.10639048090244
-2565.68579932814,-34.63124611066715
-2517.3318967031014,-28.484103311135215
-2471.414718699407,-23.160464622764138
-2564.1992592003844,-34.39155041915407
-2579.2316986143283,-35.695238525210705
-2595.5893851694373,-37.39971891428182
-2544.755270562591,-33.23018135480111
-2598.910431107836,-34.20711439206773
-2592.3830517822807,-34.335853384609194
-2598.517256802554,-35.07006492277033
-2560.9288982518083,-34.427725987292874
-2564.292946723052,-35.379258345773415
-2538.879713155318,-33.35326370010233
-2534.4878914666124,-29.912800519563124
-2590.2238323399743,-36.07557450926629
-2540.715727238353,-31.60558092990021
-61.13152805454021,416.7264815645953
-2441.2546891080005,-17.676525800979142
-2329.1221733980537,-3.8921941156923223
-2432.711033701503,-21.70256555289862
403.01634291687014,-567.3722522195762
-2578.5908378916843,-36.50561373166591
-2519.598295646852,-27.37429155692923
-2589.135912398266,-34.251201644194104
-2538.9920038469672,-31.06871171504089
-2568.954997305931,-33.52291292167043
-2536.6685247470487,-32.52608291535453
-2496.5307166722378,-28.691592027372007
-2520.76411002354,-33.99355054185352
-2579.471275905588,-34.9395049856391
-2598.058169550282,-37.84104368474923
-2511.2716204563712,17.68804573956831
-2503.162252450655,-15.565316007531356
-2609.9069622490115,-35.94036196397167
-2590.0274776033284,-39.01672617097165
-2583.4224269729516,-36.433799389629506
24168.420905641273,-181.1743187310362
-1860.1355934786448,130.04296408338885
-1597.4111361592566,92.42774688186006
-2526.6985606108274,-24.26901094930458
-1993.033038834141,60.62045433713083
137.48940828724847,-167.86185774352785
-2318.368182343118,14.644383293027115
-2580.1689256618833,-35.81213978587175
-2312.6228682918854,-6.377210322592484
-2477.4845099474737,-25.506817653620207
-2142.392740215507,15.034799787565516
-2552.519369321824,-29.710154109587936
-2502.336228968528,-27.102608069092216
-2510.096134807019,-22.52125273462525
-2580.689966640617,-34.96351017712272
-2560.161622536018,-33.62252529229989
-2497.9742146906783,-17.11576461080611
-2469.853224548397,-17.175833363538477
-2504.891319443674,-23.888343613224396
-1615.1841673992778,78.59087466205963
-2057.799301633464,45.42211926752243
-2530.5259675187635,-30.02085749672074
-2474.55027233465,-24.627577547912356
-2304.143447338622,-2.3989334176623585
-2536.98563050623,-34.118728529156066
-2586.707530497449,-34.289510835260764
-2249.340166873064,17.629842660096465
-2587.6546059563016,-37.56532561804526
-2516.2272555938525,-30.615465833634346
-2594.383962107633,-34.57801733557993
-2409.077612459107,-10.516661836324896
-2604.6681683716906,-38.09537648264303
-2528.1530543882413,-30.259920585703153
389.77391294296416,371.4448528740636
-2522.8242386549696,-29.082572958538513
-2326.3885899838037,22.219099532147315
-2569.5492266034335,-32.60642339878497
-2239.8333532013085,4.9366925637383865
-2478.896416557199,-15.507978895393796
-2549.807930336911,-37.653007600521185
-2500.64957845076,-30.32383679439651
-2313.346796645866,-7.019361265520082
-1822.3947818894812,54.81487782446404
-2503.493370787315,-20.737302240456394
-2527.5404369014777,-23.84564394726365
-2444.599940705595,-16.00498939560373
