lbp_3,entropy_0,entropy_135,hist_7,hist_8,hist_14,hist_15,hist_16,hist_71,hist_90
0.075698852538947,1.5491676869477622,1.5491676869477622,0.0104106049984693,0.0025048071984201,0.2085251957178115,0.1380774974822998,0.0623070783913135,0.0003913761174771,0.0093147521838545
0.0681304931639585,1.6587505212058913,1.6587505212058913,0.010033207014203,0.0099509675055742,0.1842162609100341,0.1238525360822677,0.1074046567082405,0.0076482640579342,0.0247540585696697
0.0706939697264546,1.599898761998509,1.599898761998509,0.0063731172122061,0.0079275360330939,0.08673657476902,0.073213130235672,0.0471766106784343,0.0019430235261097,0.0049741403199732
0.0666656494139607,1.5426491396514936,1.5426491396514936,0.0334633253514766,0.0064403619617223,0.1281432807445526,0.0670594424009323,0.0215785335749387,0.0001327909703832,0.0021246555261313
0.0691986083983319,1.631088240609165,1.631088240609165,0.0217133518308401,0.0124926138669252,0.3217591643333435,0.22062848508358,0.0706427544355392,0.0043129259720444,0.0086258519440889
0.0664215087889611,1.6363019727194044,1.6363019727194044,0.029604123905301,0.0144664980471134,0.188959315419197,0.1463055163621902,0.1063362210988998,0.0043250354938209,0.0068604014813899
0.0608978271483445,1.504372434065918,1.504372434065918,0.0142648937180638,0.0040563680231571,0.1243276745080947,0.0562482997775077,0.0100733134895563,0.0011493042111396,0.0020281840115785
0.0644683837889641,1.5276756214361362,1.5276756214361362,0.006799325812608,0.0008184373727999,0.1283687502145767,0.0576054006814956,0.0166205745190382,0.001133220968768,0.0032107927836477
0.0617523193358432,1.887242666336613,1.887242666336613,0.0083982087671756,0.0250331237912178,0.2194032222032547,0.2166576534509658,0.2088247090578079,0.0002422560355626,0.0248716194182634
0.0657653808592746,1.7871318011300223,1.7871318011300223,0.0019391303649172,0.0061699603684246,0.0761549398303031,0.1134391278028488,0.1670296341180801,0.0016747035551816,0.0316430814564228
0.068115234374896,1.7743358046371724,1.7743358046371724,0.0854454040527343,0.0585615895688533,0.3225117325782776,0.3706394135951996,0.2096185237169265,0.028857797384262,0.0065799537114799
0.0721740722655148,1.7375343397341267,1.7375343397341267,0.0415001325309276,0.0643762275576591,0.2825920879840851,0.2379454225301742,0.1110638752579689,0.0221107266843318,0.0178586635738611
0.0712280273436413,1.7291171399294825,1.7291171399294825,0.0188155248761177,0.0198886543512344,0.1369312405586242,0.1602539122104644,0.2937511205673218,0.0002146257611457,0.002575509250164
0.0694122314452065,1.7109959177201792,1.7109959177201792,0.0168192740529775,0.055687341839075,0.2679776549339294,0.3487525880336761,0.2353991568088531,0.0001413384306943,0.0010600382229313
0.0718231201170779,1.657107131035098,1.657107131035098,0.0374518409371376,0.0648556277155876,0.4162884354591369,0.3754318654537201,0.095747172832489,0.006560300476849,0.0111275985836982
0.0742645263670741,1.7053101173025085,1.7053101173025085,0.0537214577198028,0.2583675682544708,0.2194862812757492,0.4078823924064636,0.25005704164505,0.049269400537014,0.0090525103732943
0.0758819580076967,1.6575287425094856,1.6575287425094856,0.0436309874057769,0.1575483083724975,0.1841314285993576,0.553622305393219,0.392606645822525,0.0399469137191772,0.0046953875571489
0.0736694335936375,1.716850685453678,1.716850685453678,0.0215880125761032,0.1007440537214279,0.1878428608179092,0.3142481446266174,0.3085456490516662,0.0123554030433297,0.0067886831238865
0.0733184814452006,1.7754039043518228,1.7754039043518228,0.1145135536789894,0.132970243692398,0.4149065613746643,0.3368962407112121,0.2041720896959304,0.0357649773359298,0.0068084704689681
0.0836639404295598,1.5625351494355382,1.5625351494355382,0.0051328004337847,0.0130519783124327,0.1514909416437149,0.1466514319181442,0.0997229740023613,0.0010998857906088,0.0262506064027547
0.0803375244139399,1.5603480312103275,1.5603480312103275,0.0080192750319838,0.007881011813879,0.2089159488677978,0.1636346876621246,0.0969226211309433,0.0072588264010846,0.0142411263659596
0.074035644531137,1.628039967023151,1.628039967023151,0.0182397421449422,0.0273980945348739,0.1269085854291916,0.1362208575010299,0.0895825326442718,0.0092353131622076,0.0228573996573686
0.0765838623045706,1.574983365177946,1.574983365177946,0.0116184186190366,0.0152163812890648,0.2808659076690674,0.2630259990692138,0.0866509154438972,0.0065962634980678,0.0103441402316093
0.0738677978514497,1.6130487184393876,1.6130487184393876,0.0045300084166228,0.0070183230563998,0.1417063176631927,0.1702262312173843,0.0930884853005409,0.0035729645751416,0.0027435263618826
0.0709381103514542,1.6239876202742858,1.6239876202742858,0.0021720661316066,0.0003744941495824,0.1098016873002052,0.0850101709365844,0.047635655850172,7.489883137168363e-05,0.0179757196456193
0.0686492919920827,1.6702857569280831,1.6702857569280831,0.0036199474707245,0.0008687874069437,0.1644180119037628,0.1256845742464065,0.0487968921661376,7.239895057864487e-05,0.0077466876246035
0.061874389648343,1.6650158886412765,1.6650158886412765,0.0143742002546787,0.0011794215533882,0.1478699743747711,0.0902257487177848,0.0388471968472003,0.0002211415412602,0.0084770927205681
0.0629272460936539,1.858624259533812,1.858624259533812,0.0055929007939994,0.008156313560903,0.196916714310646,0.2012667506933212,0.2663618922233581,0.0006991125992499,0.0226823203265666
0.0631103515624037,1.8238946288842697,1.8238946288842697,0.0295461434870958,0.0193578191101551,0.3028649687767029,0.2490026801824569,0.1438591629266739,0.0065205283463001,0.0033281864598393
0.0615081787108436,1.7799571486347807,1.7799571486347807,0.0509084649384021,0.0365088246762752,0.2097505182027816,0.1655958741903305,0.1208677813410759,0.0008920131949707,0.0022300328128039
